stand_number,owner_full_name,national_id,suburb,city,title_deed,gps_latitude,gps_longitude,status
2456,Tendai Moyo,63-245678Z45,HARARE,Harare,TD-2021-009876,-17.8233,31.0340,VALID
1789,Rudo Chikomba,12-987654A12,HARARE,Harare,TD-2020-004321,-17.8412,31.0445,VALID
3214,James Kawombo,78-456123C89,HARARE,Harare,TD-2022-001234,-17.8645,31.0312,VALID
4521,Siphiwe Ndlela,45-678901D23,HARARE,Harare,TD-2019-005678,-17.8834,31.0567,VALID
5342,Lucia Chirenje,34-567890E12,HARARE,Harare,TD-2021-007890,-17.7933,31.0234,VALID
6789,Moses Dlamini,89-012345F67,CHITUNGWIZA,Chitungwiza,TD-2020-008901,-17.9933,31.0733,VALID
7123,Emily Manyanga,56-234567G89,CHITUNGWIZA,Chitungwiza,TD-2021-009123,-17.9845,31.0812,VALID
3321,Blessing Ncube,45-112233B67,BULAWAYO,Bulawayo,TD-2019-002211,-20.1534,28.5832,VALID
8456,David Sibanda,23-456789H01,BULAWAYO,Bulawayo,TD-2020-003456,-20.1645,28.5934,VALID
9234,Nomsa Khumalo,67-890123I45,BULAWAYO,Bulawayo,TD-2021-004234,-20.1423,28.5723,VALID
2340,Patrick Gumbo,12-345678J90,KADOMA,Kadoma,TD-2021-005340,-18.3281,29.9140,VALID
3567,Grace Mutsvangwa,34-567890K12,GWERU,Gweru,TD-2020-006567,-19.4500,29.8167,VALID
4789,Samuel Maziti,45-678901L23,MASVINGO,Masvingo,TD-2021-007789,-20.0728,30.8271,VALID
5901,Christopher Muzambi,56-789012M34,MUTARE,Mutare,TD-2020-008901,-18.9667,32.6667,VALID
